movieId,title,actors,director,keyWords,similarMovies,watchProviders
1,Toy Story (1995),"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",John Lasseter,"martial arts, jealousy, friendship, bullying, elementary school","Police Story, Harlem Nights, Snow White: A Tale of Terror, Hot Shots! Part Deux, Jingle All the Way",Disney Plus
2,Jumanji (1995),"Robin Williams, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Jonathan Hyde",Joe Johnston,"giant insect, board game, jungle, disappearance, recluse","Medicine Man, The Jungle Book, Honey, I Shrunk the Kids, Anaconda, Renaissance","fuboTV, Peacock Premium, AMC Plus Apple TV Channel , DIRECTV, Sling TV Orange and Blue"
3,Grumpier Old Men (1995),"Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah",Howard Deutch,"fishing, halloween, sequel, old man, best friend","Young Guns II, Death to Smoochy, The Nutty Professor, Click, Mad Max Beyond Thunderdome",
4,Waiting to Exhale (1995),"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines",Forest Whitaker,"based on novel or book, interracial relationship, single mother, divorce","Just Cause, Love Story, The Sword in the Stone, Nineteen Eighty-Four, The Jungle Book",
5,Father of the Bride Part II (1995),"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern",Charles Shyer,"parent child relationship, baby, midlife crisis, confidence, pregnancy","10, Little Man, Young Guns II, S.W.A.T., Welcome to Collinwood","Disney Plus, Hulu"
6,Heat (1995),"Val Kilmer, Robert De Niro, Al Pacino, Jon Voight, Tom Sizemore",Michael Mann,"robbery, detective, obsession, chase, thief","Confidential Assignment, Flying Home, Tristan & Isolde, Police Story, Just Cause","Netflix, Netflix basic with Ads"
7,Sabrina (1995),"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood",Sydney Pollack,"paris, france, sibling relationship, chauffeur, long island, new york, fusion","Look Who's Talking Too, Renaissance, An American Werewolf in Paris, The Man Who Knew Too Little, The Crow: Salvation","DIRECTV, Cinemax Amazon Channel, CBS"
8,Tom and Huck (1995),"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright",Peter Hewitt,"mississippi river, based on novel or book, male friendship","Just Cause, Love Story, The Sword in the Stone, Nineteen Eighty-Four, The Jungle Book",Disney Plus
9,Sudden Death (1995),"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger",Peter Hyams,"terrorist, hostage, explosive, ice hockey, vice president","Eraser, Double Team, The Specialist, Executive Decision, Ivan's Woman",
10,GoldenEye (1995),"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker",Martin Campbell,"cuba, falsely accused, secret identity, computer virus, secret base","Spies Like Us, Nacho Libre, Apt Pupil, Charlie's Angels: Full Throttle, The Bourne Identity","Max, HBO Max, Max Amazon Channel, DIRECTV"
11,"American President, The (1995)","Michael Douglas, Annette Bening, Martin Sheen, David Paymer, Samantha Mathis",Rob Reiner,"the white house, usa president, new love, widower, wildlife conservation","American Dreamz, Clear and Present Danger, In the Line of Fire, Murder at 1600, In the Name of the King: A Dungeon Siege Tale",
12,Dracula: Dead and Loving It (1995),"Leslie Nielsen, Mel Brooks, Amy Yasbeck, Peter MacNicol, Lysette Anthony",Mel Brooks,"vampire, spoof, dracula","High School High, Bordello of Blood, Johnny English, Attack of the Killer Tomatoes!, Airplane II: The Sequel",
13,Balto (1995),"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins",Simon Wells,"wolf, pet, dog-sledding race, alaska, dog","Snow White: A Tale of Terror, Ace Ventura: When Nature Calls, Click, Babe: Pig in the City, King Arthur",
14,Nixon (1995),"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins",Oliver Stone,"washington dc, usa, usa president, 1970s, presidential election, watergate scandal","The American President, American Dreamz, Clear and Present Danger, Donnie Brasco, Starsky & Hutch",
15,Cutthroat Island (1995),"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide",Renny Harlin,"exotic island, treasure, map, island, ship","Flying Home, Police Story, Broken Arrow, Eraser, Mortal Kombat",Amazon Prime Video
16,Casino (1995),"Robert De Niro, Sharon Stone, Joe Pesci, Don Rickles, Kevin Pollak",Martin Scorsese,"poker, gambling, casino, drug abuse, 1970s","Police Story, Broken Arrow, Clear and Present Danger, The Scorpion King, Transporter 2","fuboTV, Peacock Premium, Paramount Plus Apple TV Channel , Showtime Roku Premium Channel, DIRECTV"
17,Sense and Sensibility (1995),"Emma Thompson, Kate Winslet, Alan Rickman, Hugh Grant, Gemma Jones",Ang Lee,"london, england, based on novel or book, servant, country life, widow","Just Cause, Love Story, The Sword in the Stone, Mary Reilly, The Man in the Iron Mask",
18,Four Rooms (1995),"Tim Roth, Jennifer Beals, Antonio Banderas, Valeria Golino, David Proval",Allison Anders,"hotel, new year's eve, witch, bet, hotel room","The Brady Bunch Movie, The Sword in the Stone, Harlem Nights, To Wong Foo, Thanks for Everything! Julie Newmar, The Craft",
19,Ace Ventura: When Nature Calls (1995),"Jim Carrey, Ian McNeice, Simon Callow, Bob Gunton, Maynard Eziashi",Steve Oedekerk,"africa, indigenous, kidnapping, human animal relationship, bat","Free Willy 2: The Adventure Home, Thesis, The Jungle Book, Transporter 2, Surf's Up",
20,Money Train (1995),"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper",Joseph Ruben,"new york city, sibling relationship, subway, new york subway, train robbery","1:1 Thierry Henry, To Wong Foo, Thanks for Everything! Julie Newmar, Look Who's Talking Too, Donnie Brasco, The Man Who Knew Too Little",Amazon Prime Video
21,Get Shorty (1995),"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina",Barry Sonnenfeld,"gambling, miami, florida, based on novel or book, gangster, murder","The Cave, Tristan & Isolde, Police Story, Just Cause, Love Story","Paramount Plus Apple TV Channel , AMC+ Amazon Channel, DIRECTV"
22,Copycat (1995),"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr.",Jon Amiel,"police brutality, psychology, police operation, police protection, serial killer","Just Cause, Witness, Thesis, An American Werewolf in Paris, Kiss the Girls",Hulu
23,Assassins (1995),"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson",Richard Donner,"cia, bank, cat, mexican standoff, seattle, washington","Police Story, Spies Like Us, Harlem Nights, Young Guns II, Broken Arrow",
24,Powder (1995),"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum, Brandon Smith",Victor Salva,"shot to death, teenage boy, held at gunpoint, teacher student relationship, albino","John Tucker Must Die, Phenomenon, Stargate, Eragon, Rampage",
